time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,0,-1562.16,-0.562377,3.70238,2.57762,-37.4918
0.064,80,123.631,-43.631,0,-255.801,-0.654465,3.79447,2.48553,-40.5614
0.096,80,123.055,-43.0551,0,23.9966,-0.645827,3.78583,2.49417,-41.3926
0.128,80,113.038,-33.0382,0,417.371,-0.495573,3.63557,2.64443,-39.304
0.16,80,113.88,-33.8798,0,-35.0668,-0.508197,3.6482,2.6318,-38.2192
0.192,80,121.089,-41.0888,0,-300.376,-0.616332,3.75633,2.52367,-38.6975
0.224,80,117.39,-37.3903,0,154.107,-0.560854,3.70085,2.57915,-38.5107
0.256,80,98.5938,-18.5938,0,783.188,-0.278906,3.41891,2.86109,-36.0211
0.288,80,111.912,-31.9123,0,-554.938,-0.478684,3.61868,2.66132,-35.5646
0.32,80,119.72,-39.7202,0,-325.329,-0.595803,3.7358,2.5442,-35.9801
0.352,80,111.931,-31.9309,0,324.554,-0.478963,3.61896,2.66104,-35.612
0.384,80,112.945,-32.9455,0,-42.2747,-0.494182,3.63418,2.64582,-35.3898
0.416,80,118.966,-38.9662,0,-250.863,-0.584493,3.72449,2.55551,-35.6649
0.448,80,116.095,-36.0951,0,119.628,-0.541427,3.68143,2.59857,-35.6956
0.48,80,111.572,-31.572,0,188.463,-0.47358,3.61358,2.66642,-35.4207
0.512,80,104.23,-24.2304,0,305.899,-0.363456,3.50346,2.77654,-34.7213
0.544,80,111.337,-31.3372,0,-296.115,-0.470058,3.61006,2.66994,-34.5223
0.576,80,109.487,-29.4865,0,77.1106,-0.442298,3.5823,2.6977,-34.2425
0.608,80,104.767,-24.7675,0,196.628,-0.371512,3.51151,2.76849,-33.7438
0.64,80,107.275,-27.2749,0,-104.479,-0.409124,3.54912,2.73088,-33.4204
0.672,80,93.4008,-13.4008,0,578.09,-0.201012,3.34101,2.93899,-32.4671
0.704,80,98.5147,-18.5147,0,-213.081,-0.277721,3.41772,2.86228,-31.8329
0.736,80,99.1024,-19.1024,0,-24.4853,-0.286536,3.42654,2.85346,-31.2794
0.768,80,89.5747,-9.57469,0,396.987,-0.14362,3.28362,2.99638,-30.375
0.8,80,88.2106,-8.21055,0,56.839,-0.123158,3.26316,3.01684,-29.4884
0.832,80,90.4014,-10.4014,0,-91.2874,-0.156022,3.29602,2.98398,-28.7543
