time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
1.952,80,100.388,-20.3879,0,-30.3809,-0.0407758,3.18078,3.09922,-31.5415
1.984,80,104.202,-24.2025,0,-158.942,-0.048405,3.1884,3.0916,-31.4231
2.016,80,92.8473,-12.8473,0,473.132,-0.0256946,3.16569,3.11431,-31.1282
2.048,80,94.8224,-14.8224,0,-82.2953,-0.0296448,3.16964,3.11036,-30.8735
2.08,80,96.6086,-16.6086,0,-74.4265,-0.0332173,3.17322,3.10678,-30.654
2.112,80,96.9171,-16.9171,0,-12.8544,-0.0338343,3.17383,3.10617,-30.4459
2.144,80,90.1402,-10.1402,0,282.373,-0.0202804,3.16028,3.11972,-30.1428
2.176,80,88.9293,-8.92928,0,50.4554,-0.0178586,3.15786,3.12214,-29.8308
2.208,80,91.2667,-11.2667,0,-97.3918,-0.0225334,3.16253,3.11747,-29.5618
2.24,80,88.7332,-8.73316,0,105.563,-0.0174663,3.15747,3.12253,-29.2642
2.272,80,93.0787,-13.0787,0,-181.062,-0.0261573,3.16616,3.11384,-29.0363
2.304,80,92.3605,-12.3605,0,29.9223,-0.024721,3.16472,3.11528,-28.8047
2.336,80,88.6216,-8.62162,0,155.787,-0.0172432,3.15724,3.12276,-28.5282
2.368,80,85.7638,-5.76379,0,119.076,-0.0115276,3.15153,3.12847,-28.2206
2.4,80,85.2865,-5.28645,0,19.889,-0.0105729,3.15057,3.12943,-27.9148
2.432,80,85.6166,-5.61662,0,-13.7568,-0.0112332,3.15123,3.12877,-27.6214
2.464,80,82.438,-2.43795,0,132.444,-0.00487591,3.14488,3.13512,-27.2943
2.496,80,77.8261,2.17386,0,192.159,0.00434771,3.13565,3.14435,-26.9165
2.528,80,83.7725,-3.77255,0,-247.767,-0.00754509,3.14755,3.13245,-26.6236
2.56,80,83.9379,-3.93788,0,-6.88894,-0.00787576,3.14788,3.13212,-26.34
2.592,80,73.678,6.322,0,427.495,0.012644,3.12736,3.15264,-25.9368
2.624,80,77.0812,2.91883,0,-141.799,0.00583765,3.13416,3.14584,-25.5849
2.656,80,78.9187,1.08135,0,-76.5615,0.0021627,3.13784,3.14216,-25.2636
2.688,80,81.942,-1.94201,0,-125.973,-0.00388402,3.14388,3.13612,-24.9859
2.72,80,72.5513,7.4487,0,391.279,0.0148974,3.1251,3.1549,-24.6044
2.752,80,73.0028,6.99721,0,-18.812,0.0139944,3.12601,3.15399,-24.2369
2.784,80,72.8877,7.11231,0,4.79592,0.0142246,3.12578,3.15422,-23.8766
2.816,80,69.2457,10.7543,0,151.75,0.0215086,3.11849,3.16151,-23.483
2.848,80,63.3458,16.6542,0,245.827,0.0333083,3.10669,3.17331,-23.032
2.88,80,72.3797,7.62028,0,-376.412,0.0152406,3.12476,3.15524,-22.6915
2.912,80,67.2144,12.7856,0,215.224,0.0255713,3.11443,3.16557,-22.3016
2.944,80,64.8697,15.1303,0,97.6924,0.0302605,3.10974,3.17026,-21.8947
2.976,80,70.8374,9.16258,0,-248.654,0.0183252,3.12167,3.15833,-21.5608
3.008,80,68.1183,11.8817,0,113.298,0.0237634,3.11624,3.16376,-21.205
3.04,80,60.774,19.226,0,306.011,0.038452,3.10155,3.17845,-20.7794
3.072,80,74.4187,5.58126,0,-568.531,0.0111625,3.12884,3.15116,-20.5048
3.104,80,74.1468,5.85316,0,11.3292,0.0117063,3.12829,3.15171,-20.2331
3.136,80,64.5868,15.4132,0,398.333,0.0308263,3.10917,3.17083,-19.8694
3.168,80,70.5624,9.43757,0,-248.983,0.0188751,3.12112,3.15888,-19.5733
3.2,80,69.3708,10.6292,0,49.651,0.0212584,3.11874,3.16126,-19.2713
3.232,80,63.7805,16.2195,0,232.927,0.0324389,3.10756,3.17244,-18.9199
3.264,80,63.1538,16.8462,0,26.1131,0.0336923,3.10631,3.17369,-18.5693
3.296,80,74.9093,5.09066,0,-489.813,0.0101813,3.12982,3.15018,-18.3396
3.328,80,63.9106,16.0894,0,458.279,0.0321787,3.10782,3.17218,-18.0085
3.36,80,69.6445,10.3555,0,-238.912,0.020711,3.11929,3.16071,-17.7384
3.392,80,66.0952,13.9048,0,147.89,0.0278097,3.11219,3.16781,-17.4399
3.424,80,64.5117,15.4883,0,65.9786,0.0309767,3.10902,3.17098,-17.1321
3.456,80,65.4211,14.5789,0,-37.8911,0.0291579,3.11084,3.16916,-16.8385
3.488,80,67.6537,12.3463,0,-93.0285,0.0246925,3.11531,3.16469,-16.5708
3.52,80,63.276,16.724,0,182.406,0.033448,3.10655,3.17345,-16.2681
3.552,80,63.2525,16.7475,0,0.980055,0.0334951,3.1065,3.1735,-15.9706
3.584,80,60.8304,19.1696,0,100.918,0.0383391,3.10166,3.17834,-15.6569
3.616,80,67.8169,12.1831,0,-291.101,0.0243663,3.11563,3.16437,-15.4105
3.648,80,65.2016,14.7984,0,108.971,0.0295969,3.1104,3.1696,-15.1455
3.68,80,66.2595,13.7405,0,-44.0811,0.027481,3.11252,3.16748,-14.8943
3.712,80,70.8544,9.14561,0,-191.454,0.0182912,3.12171,3.15829,-14.6871
3.744,80,65.1068,14.8932,0,239.484,0.0297865,3.11021,3.16979,-14.4343
3.776,80,64.0875,15.9125,0,42.4674,0.0318249,3.10818,3.17182,-14.1771
3.808,80,64.8328,15.1672,0,-31.0514,0.0303344,3.10967,3.17033,-13.9305
3.84,80,69.8321,10.1679,0,-208.304,0.0203358,3.11966,3.16034,-13.7297
3.872,80,63.0902,16.9098,0,280.91,0.0338195,3.10618,3.17382,-13.4765
3.904,80,67.4827,12.5173,0,-183.019,0.0250346,3.11497,3.16503,-13.2634
3.936,80,68.7917,11.2083,0,-54.543,0.0224166,3.11758,3.16242,-13.0644
3.968,80,66.8551,13.1449,0,80.6946,0.0262899,3.11371,3.16629,-12.8531
4,80,68.1461,11.8539,0,-53.7953,0.0237077,3.11629,3.16371,-12.6554
4.032,80,62.0688,17.9312,0,253.224,0.0358625,3.10414,3.17586,-12.4127
4.064,80,68.7542,11.2458,0,-278.559,0.0224916,3.11751,3.16249,-12.2264
4.096,80,70.1557,9.84426,0,-58.3976,0.0196885,3.12031,3.15969,-12.054
4.128,80,67.7845,12.2155,0,98.803,0.0244311,3.11557,3.16443,-11.8658
4.16,80,64.9324,15.0676,0,118.837,0.0301352,3.10986,3.17014,-11.6586
4.192,80,72.7122,7.28776,0,-324.16,0.0145755,3.12542,3.15458,-11.514
4.224,80,69.0291,10.9709,0,153.466,0.0219419,3.11806,3.16194,-11.3437
4.256,80,67.7373,12.2627,0,53.8244,0.0245255,3.11547,3.16453,-11.1662
4.288,80,56.2381,23.7619,0,479.133,0.0475239,3.09248,3.18752,-10.9055
4.32,80,62.3415,17.6585,0,-254.309,0.035317,3.10468,3.17532,-10.6939
4.352,80,62.1789,17.8211,0,6.77426,0.0356422,3.10436,3.17564,-10.4843
4.384,80,70.9061,9.09393,0,-363.632,0.0181879,3.12181,3.15819,-10.3414
4.416,80,61.9067,18.0933,0,374.972,0.0361865,3.10381,3.17619,-10.1353
4.448,80,71.9864,8.0136,0,-419.986,0.0160272,3.12397,3.15603,-10.0047
4.48,80,66.2487,13.7513,0,239.071,0.0275026,3.1125,3.1675,-9.83506
4.512,80,68.1702,11.8298,0,-80.0618,0.0236596,3.11634,3.16366,-9.68141
4.544,80,65.4662,14.5338,0,112.666,0.0290676,3.11093,3.16907,-9.51088
4.576,80,61.3291,18.6709,0,172.378,0.0373417,3.10266,3.17734,-9.31381
4.608,80,65.948,14.052,0,-192.454,0.0281039,3.1119,3.1681,-9.15154
4.64,80,70.9871,9.01289,0,-209.961,0.0180258,3.12197,3.15803,-9.02627
4.672,80,70.2481,9.75189,0,30.7914,0.0195038,3.1205,3.1595,-8.89765
4.704,80,68.3307,11.6693,0,79.8938,0.0233387,3.11666,3.16334,-8.75774
4.736,80,66.3699,13.6301,0,81.6992,0.0272602,3.11274,3.16726,-8.60647
4.768,80,64.8713,15.1287,0,62.4405,0.0302574,3.10974,3.17026,-8.44718
4.8,80,68.3264,11.6736,0,-143.96,0.0233473,3.11665,3.16335,-8.31304
4.832,80,67.4717,12.5283,0,35.6113,0.0250566,3.11494,3.16506,-8.17502
4.864,80,65.5882,14.4118,0,78.4801,0.0288237,3.11118,3.16882,-8.02642
4.896,80,66.1108,13.8892,0,-21.7783,0.0277783,3.11222,3.16778,-7.88318
4.928,80,66.4227,13.5773,0,-12.9939,0.0271546,3.11285,3.16715,-7.74383
4.96,80,67.189,12.811,0,-31.9303,0.025622,3.11438,3.16562,-7.61121
4.992,80,61.162,18.838,0,251.125,0.0376759,3.10232,3.17768,-7.44167
5.024,80,66.7821,13.2179,0,-234.17,0.0264358,3.11356,3.16644,-7.31008
5.056,80,68.2646,11.7354,0,-61.7713,0.0234707,3.11653,3.16347,-7.18954
5.088,80,68.7804,11.2196,0,-21.4918,0.0224391,3.11756,3.16244,-7.07376
5.12,80,58.6607,21.3393,0,421.655,0.0426785,3.09732,3.18268,-6.89618
5.152,80,61.727,18.273,0,-127.76,0.036546,3.10345,3.17655,-6.73985
5.184,80,69.8055,10.1945,0,-336.604,0.020389,3.11961,3.16039,-6.63531
5.216,80,67.9034,12.0966,0,79.2554,0.0241933,3.11581,3.16419,-6.52039
5.248,80,67.8776,12.1224,0,1.07499,0.0242449,3.11576,3.16424,-6.40672
5.28,80,73.1436,6.85644,0,-219.417,0.0137129,3.12629,3.15371,-6.32633
5.312,80,71.6225,8.37747,0,63.3764,0.0167549,3.12325,3.15675,-6.23776
5.344,80,64.7889,15.2111,0,284.736,0.0304223,3.10958,3.17042,-6.10932
5.376,80,64.417,15.583,0,15.4927,0.0311659,3.10883,3.17117,-5.9802
5.408,80,65.3462,14.6538,0,-38.7153,0.0293076,3.11069,3.16931,-5.85811
5.44,80,71.2306,8.76945,0,-245.181,0.0175389,3.12246,3.15754,-5.77206
5.472,80,72.0038,7.99623,0,-32.2174,0.0159925,3.12401,3.15599,-5.69154
5.504,80,72.0607,7.93925,0,-2.37412,0.0158785,3.12412,3.15588,-5.6123
5.536,80,61.6872,18.3128,0,432.23,0.0366255,3.10337,3.17663,-5.474
5.568,80,67.1076,12.8924,0,-225.848,0.0257848,3.11422,3.16578,-5.36845
5.6,80,64.9716,15.0284,0,89.0008,0.0300569,3.10994,3.17006,-5.25189
5.632,80,62.9807,17.0193,0,82.9525,0.0340386,3.10596,3.17404,-5.12535
5.664,80,68.8239,11.1761,0,-243.467,0.0223522,3.11765,3.16235,-5.03325
5.696,80,68.9309,11.0691,0,-4.45846,0.0221382,3.11786,3.16214,-4.94279
5.728,80,71.6445,8.35546,0,-113.068,0.0167109,3.12329,3.15671,-4.8685
5.76,80,70.418,9.58202,0,51.1066,0.019164,3.12084,3.15916,-4.78822
5.792,80,65.2806,14.7194,0,214.056,0.0294387,3.11056,3.16944,-4.68044
5.824,80,72.5784,7.42155,0,-304.076,0.0148431,3.12516,3.15484,-4.61395
5.856,80,65.7516,14.2484,0,284.452,0.0284968,3.1115,3.1685,-4.51087
5.888,80,67.3587,12.6413,0,-66.9607,0.0252827,3.11472,3.16528,-4.41766
5.92,80,66.2416,13.7584,0,46.5434,0.0275168,3.11248,3.16752,-4.31941
5.952,80,70.8342,9.16581,0,-191.358,0.0183316,3.12167,3.15833,-4.24691
5.984,80,69.9823,10.0177,0,35.4952,0.0200354,3.11996,3.16004,-4.17062
6.016,80,64.8286,15.1714,0,214.736,0.0303427,3.10966,3.17034,-4.06774
6.048,80,73.0179,6.98212,0,-341.218,0.0139642,3.12604,3.15396,-4.00928
6.08,80,66.9708,13.0292,0,251.963,0.0260585,3.11394,3.16606,-3.9196
6.112,80,64.8372,15.1628,0,88.8989,0.0303256,3.10967,3.17033,-3.81969
6.144,80,64.5279,15.4721,0,12.8867,0.0309442,3.10906,3.17094,-3.71921
6.176,80,59.8164,20.1836,0,196.311,0.0403671,3.09963,3.18037,-3.59537
6.208,80,69.48,10.52,0,-402.65,0.0210399,3.11896,3.16104,-3.52261
6.24,80,65.4243,14.5757,0,168.989,0.0291514,3.11085,3.16915,-3.42979
6.272,80,67.2221,12.7779,0,-74.9071,0.0255559,3.11444,3.16556,-3.3471
6.304,80,69.6905,10.3095,0,-102.85,0.0206191,3.11938,3.16062,-3.27778
6.336,80,65.3042,14.6958,0,182.76,0.0293915,3.11061,3.16939,-3.187
6.368,80,75.3251,4.67488,0,-417.537,0.00934977,3.13065,3.14935,-3.1475
6.4,80,61.2425,18.7575,0,586.774,0.0375149,3.10249,3.17751,-3.03797
6.432,80,64.8011,15.1989,0,-148.275,0.0303977,3.1096,3.1704,-2.94724
6.464,80,70.5358,9.46424,0,-238.942,0.0189285,3.12107,3.15893,-2.8858
6.496,80,69.1854,10.8146,0,56.2662,0.0216293,3.11837,3.16163,-2.81831
6.528,80,74.8259,5.17412,0,-235.021,0.0103482,3.12965,3.15035,-2.77913
6.56,80,66.3511,13.6489,0,353.117,0.0272978,3.1127,3.1673,-2.69899
6.592,80,67.6682,12.3318,0,-54.8816,0.0246635,3.11534,3.16466,-2.62603
6.624,80,68.0534,11.9466,0,-16.0488,0.0238932,3.11611,3.16389,-2.55563
6.656,80,64.113,15.887,0,164.183,0.0317739,3.10823,3.17177,-2.46696
6.688,80,69.0747,10.9253,0,-206.738,0.0218505,3.11815,3.16185,-2.40288
6.72,80,73.2761,6.72392,0,-175.056,0.0134478,3.12655,3.15345,-2.35942
6.752,80,64.2068,15.7932,0,377.885,0.0315863,3.10841,3.17159,-2.27339
6.784,80,71.7063,8.29368,0,-312.478,0.0165874,3.12341,3.15659,-2.22355
6.816,80,71.8309,8.16911,0,-5.19037,0.0163382,3.12366,3.15634,-2.17476
6.848,80,67.3989,12.6011,0,184.666,0.0252022,3.1148,3.1652,-2.10571
6.88,80,70.8576,9.14244,0,-144.11,0.0182849,3.12172,3.15828,-2.05339
6.912,80,69.015,10.985,0,76.7728,0.02197,3.11803,3.16197,-1.99303
6.944,80,59.213,20.787,0,408.416,0.0415739,3.09843,3.18157,-1.88805
6.976,80,66.8946,13.1054,0,-320.067,0.0262107,3.11379,3.16621,-1.81928
7.008,80,66.6804,13.3196,0,8.92398,0.0266391,3.11336,3.16664,-1.75015
7.04,80,63.7434,16.2566,0,122.376,0.0325131,3.10749,3.17251,-1.6683
7.072,80,67.5888,12.4112,0,-160.224,0.0248224,3.11518,3.16482,-1.60459
7.104,80,64.0707,15.9293,0,146.589,0.0318587,3.10814,3.17186,-1.52561
7.136,80,68.1129,11.8871,0,-168.424,0.0237743,3.11623,3.16377,-1.46546
7.168,80,68.4055,11.5945,0,-12.1933,0.023189,3.11681,3.16319,-1.40716
7.2,80,67.1272,12.8728,0,53.2636,0.0257457,3.11425,3.16575,-1.34369
7.232,80,69.0985,10.9015,0,-82.1403,0.0218029,3.1182,3.1618,-1.28951
7.264,80,67.1399,12.8601,0,81.6081,0.0257201,3.11428,3.16572,-1.22718
7.296,80,67.4455,12.5545,0,-12.7302,0.0251091,3.11489,3.16511,-1.16673
7.328,80,69.5073,10.4927,0,-85.9114,0.0209853,3.11901,3.16099,-1.11582
7.36,80,64.5358,15.4642,0,207.149,0.0309285,3.10907,3.17093,-1.04373
7.392,80,69.7915,10.2085,0,-218.991,0.0204169,3.11958,3.16042,-0.99502
7.424,80,63.6943,16.3057,0,254.054,0.0326115,3.10739,3.17261,-0.920448
7.456,80,67.2046,12.7954,0,-146.266,0.0255907,3.11441,3.16559,-0.861582
7.488,80,63.4387,16.5613,0,156.914,0.0331226,3.10688,3.17312,-0.787125
7.52,80,69.4398,10.5602,0,-250.047,0.0211203,3.11888,3.16112,-0.738838
7.552,80,69.1789,10.8211,0,10.871,0.0216422,3.11836,3.16164,-0.689856
7.584,80,62.9742,17.0258,0,258.531,0.0340516,3.10595,3.17405,-0.615106
7.616,80,67.2529,12.7471,0,-178.279,0.0254942,3.11451,3.16549,-0.558962
7.648,80,68.1746,11.8254,0,-38.404,0.0236508,3.11635,3.16365,-0.507145
7.68,80,64.3746,15.6254,0,158.334,0.0312509,3.10875,3.17125,-0.439926
7.712,80,64.3942,15.6058,0,-0.815994,0.0312117,3.10879,3.17121,-0.373346
7.744,80,65.7005,14.2995,0,-54.433,0.0285989,3.1114,3.1686,-0.312714
7.776,80,64.0206,15.9794,0,69.9959,0.0319587,3.10804,3.17196,-0.245669
7.808,80,65.1717,14.8283,0,-47.9616,0.0296566,3.11034,3.16966,-0.18389
7.84,80,59.8691,20.1309,0,220.942,0.0402618,3.09974,3.18026,-0.100973
7.872,80,67.1598,12.8402,0,-303.778,0.0256804,3.11432,3.16568,-0.0483665
7.904,80,71.1934,8.80657,0,-168.068,0.0176131,3.12239,3.15761,-0.0125165
7.936,80,69.0837,10.9163,0,87.9065,0.0218327,3.11817,3.16183,0.0315514
7.968,80,65.1877,14.8123,0,162.33,0.0296245,3.11038,3.16962,0.0909116
8,80,64.456,15.544,0,30.4896,0.031088,3.10891,3.17109,0.152724
8.032,80,62.5382,17.4618,0,79.9074,0.0349236,3.10508,3.17492,0.221684
8.064,80,69.6756,10.3244,0,-297.389,0.0206489,3.11935,3.16065,0.261775
8.096,80,70.7021,9.29785,0,-42.7745,0.0185957,3.1214,3.1586,0.29749
8.128,80,66.4955,13.5045,0,175.277,0.027009,3.11299,3.16701,0.349487
8.16,80,67.1369,12.8631,0,-26.7258,0.0257262,3.11427,3.16573,0.39856
8.192,80,73.0813,6.91869,0,-247.683,0.0138374,3.12616,3.15384,0.424029
8.224,80,68.6671,11.3329,0,183.925,0.0226658,3.11733,3.16267,0.466476
8.256,80,63.2794,16.7206,0,224.489,0.0334412,3.10656,3.17344,0.529476
8.288,80,67.8821,12.1179,0,-191.78,0.0242358,3.11576,3.16424,0.574219
8.32,80,65.8433,14.1567,0,84.9511,0.0283134,3.11169,3.16831,0.626459
8.352,80,65.0688,14.9312,0,32.2711,0.0298624,3.11014,3.16986,0.681267
8.384,80,64.7497,15.2503,0,13.2934,0.0305005,3.1095,3.1705,0.736874
8.416,80,68.8085,11.1915,0,-169.113,0.0223831,3.11762,3.16238,0.776625
8.448,80,65.1679,14.8321,0,151.69,0.0296642,3.11034,3.16966,0.829866
8.48,80,70.0294,9.97059,0,-202.563,0.0199412,3.12006,3.15994,0.864359
8.512,80,67.663,12.337,0,98.6003,0.024674,3.11533,3.16467,0.907489
8.544,80,63.8005,16.1995,0,160.937,0.032399,3.1076,3.1724,0.964763
8.576,80,69.9843,10.0157,0,-257.656,0.0200315,3.11997,3.16003,0.998535
8.608,80,68.474,11.526,0,62.9274,0.023052,3.11695,3.16305,1.03767
8.64,80,63.6095,16.3905,0,202.689,0.0327811,3.10722,3.17278,1.09453
8.672,80,71.176,8.82404,0,-315.271,0.0176481,3.12235,3.15765,1.12306
8.704,80,64.8482,15.1518,0,263.658,0.0303037,3.1097,3.1703,1.17463
8.736,80,63.9081,16.0919,0,39.1685,0.0321838,3.10782,3.17218,1.22927
8.768,80,63.4793,16.5207,0,17.8665,0.0330414,3.10696,3.17304,1.28508
8.8,80,62.437,17.563,0,43.431,0.035126,3.10487,3.17513,1.34427
8.832,80,60.0994,19.9006,0,97.3993,0.0398012,3.1002,3.1798,1.41151
8.864,80,70.8454,9.15459,0,-447.75,0.0183092,3.12169,3.15831,1.43946
8.896,80,67.8961,12.1039,0,122.888,0.0242078,3.11579,3.16421,1.47782
8.928,80,67.4522,12.5478,0,18.4946,0.0250955,3.1149,3.1651,1.5175
8.96,80,65.9532,14.0468,0,62.4608,0.0280937,3.11191,3.16809,1.56225
8.992,80,65.4757,14.5243,0,19.8936,0.0290485,3.11095,3.16905,1.60837
9.024,80,70.8738,9.12617,0,-224.921,0.0182523,3.12175,3.15825,1.63503
9.056,80,63.2018,16.7982,0,319.669,0.0335965,3.1064,3.1736,1.68861
9.088,80,67.5763,12.4237,0,-182.272,0.0248474,3.11515,3.16485,1.72641
9.12,80,62.1451,17.8549,0,226.301,0.0357099,3.10429,3.17571,1.783
9.152,80,66.0893,13.9107,0,-164.343,0.0278214,3.11218,3.16782,1.82541
9.184,80,65.8602,14.1398,0,9.5449,0.0282796,3.11172,3.16828,1.86832
9.216,80,65.7588,14.2412,0,4.2255,0.0284824,3.11152,3.16848,1.91128
9.248,80,66.6077,13.3923,0,-35.3724,0.0267845,3.11322,3.16678,1.951
9.28,80,70.4917,9.50832,0,-161.83,0.0190166,3.12098,3.15902,1.97706
9.312,80,65.2766,14.7234,0,217.293,0.0294467,3.11055,3.16945,2.02087
9.344,80,66.4465,13.5535,0,-48.7446,0.027107,3.11289,3.16711,2.06036
9.376,80,71.3547,8.64527,0,-204.509,0.0172905,3.12271,3.15729,2.08284
9.408,80,73.4299,6.57009,0,-86.4657,0.0131402,3.12686,3.15314,2.0981
9.44,80,67.8572,12.1428,0,232.195,0.0242855,3.11571,3.16429,2.13215
9.472,80,61.9286,18.0714,0,247.027,0.0361428,3.10386,3.17614,2.186
9.504,80,71.175,8.825,0,-385.267,0.01765,3.12235,3.15765,2.20835
9.536,80,62.2078,17.7922,0,373.632,0.0355843,3.10442,3.17558,2.26064
9.568,80,65.1831,14.8169,0,-123.972,0.0296337,3.11037,3.16963,2.30264
9.6,80,63.5124,16.4876,0,69.6129,0.0329751,3.10702,3.17298,2.34992
9.632,80,70.1472,9.85284,0,-276.447,0.0197057,3.12029,3.15971,2.37485
9.664,80,62.6155,17.3845,0,313.821,0.0347691,3.10523,3.17477,2.42455
9.696,80,71.8359,8.16406,0,-384.187,0.0163281,3.12367,3.15633,2.44349
9.728,80,70.8555,9.14447,0,40.8501,0.0182889,3.12171,3.15829,2.46553
9.76,80,71.4536,8.54642,0,-24.9184,0.0170928,3.12291,3.15709,2.48547
9.792,80,65.7902,14.2098,0,235.976,0.0284197,3.11158,3.16842,2.52379
9.824,80,68.2201,11.7799,0,-101.25,0.0235597,3.11644,3.16356,2.55394
9.856,80,65.1067,14.8933,0,129.727,0.0297866,3.11021,3.16979,2.594
9.888,80,71.6031,8.3969,0,-270.683,0.0167938,3.12321,3.15679,2.61278
9.92,80,69.2807,10.7193,0,96.7675,0.0214386,3.11856,3.16144,2.63893
9.952,80,69.9369,10.0631,0,-27.3435,0.0201262,3.11987,3.16013,2.6628
