time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
0.032,80,117.492,-37.4918,0,-1562.16,-1.12475,4.26475,2.01525,-37.4918
0.064,80,123.631,-43.631,0,-255.801,-1.30893,4.44893,1.83107,-40.5614
0.096,80,122.954,-42.9544,0,28.1904,-1.28863,4.42863,1.85137,-41.3591
0.128,80,112.624,-32.6238,0,430.445,-0.978713,4.11871,2.16129,-39.1753
0.16,80,113.38,-33.3796,0,-31.4926,-1.00139,4.14139,2.13861,-38.0161
0.192,80,119.833,-39.8333,0,-268.904,-1.195,4.335,1.945,-38.319
0.224,80,115.246,-35.246,0,191.136,-1.05738,4.19738,2.08262,-37.88
0.256,80,97.2951,-17.2951,0,747.954,-0.518854,3.65885,2.62115,-35.3069
0.288,80,109.043,-29.0428,0,-489.486,-0.871284,4.01128,2.26872,-34.6109
0.32,80,115.065,-35.0646,0,-250.909,-1.05194,4.19194,2.08806,-34.6563
0.352,80,107.516,-27.5164,0,314.51,-0.825491,3.96549,2.31451,-34.0072
0.384,80,107.033,-27.0328,0,20.1503,-0.810983,3.95098,2.32902,-33.426
0.416,80,110.926,-30.9257,0,-162.205,-0.927771,4.06777,2.21223,-33.2336
0.448,80,106.358,-26.3577,0,190.332,-0.790732,3.93073,2.34927,-32.7425
0.48,80,99.0265,-19.0265,0,305.469,-0.570794,3.71079,2.56921,-31.8281
0.512,80,87.7601,-7.76014,0,469.43,-0.232804,3.3728,2.9072,-30.3239
0.544,80,90.9894,-10.9894,0,-134.552,-0.329681,3.46968,2.81032,-29.1865
0.576,80,86.0755,-6.07546,0,204.747,-0.182264,3.32226,2.95774,-27.9026
0.608,80,78.628,1.37202,0,310.312,0.0411607,3.09884,3.18116,-26.3618
0.64,80,79.3118,0.68824,0,-28.491,0.0206472,3.11935,3.16065,-25.0093
0.672,80,64.0427,15.9573,0,636.212,0.47872,2.66128,3.61872,-23.0585
0.704,80,71.2001,8.79987,0,-298.227,0.263996,2.876,3.404,-21.6104
0.736,80,72.33,7.66999,0,-47.078,0.2301,2.9099,3.3701,-20.3374
0.768,80,63.7883,16.2117,0,355.902,0.48635,2.65365,3.62635,-18.8145
0.8,80,64.542,15.458,0,-31.4025,0.46374,2.67626,3.60374,-17.4436
0.832,80,69.8489,10.1511,0,-221.121,0.304533,2.83547,3.44453,-16.3822
0.864,80,68.786,11.214,0,44.2878,0.33642,2.80358,3.47642,-15.3602
0.896,80,64.0017,15.9983,0,199.345,0.479948,2.66005,3.61995,-14.2402
0.928,80,69.33,10.67,0,-222.012,0.3201,2.8199,3.4601,-13.3812
0.96,80,75.0596,4.94037,0,-238.734,0.148211,2.99179,3.28821,-12.7705
0.992,80,65.8494,14.1506,0,383.759,0.424517,2.71548,3.56452,-11.9021
1.024,80,60.4438,19.5562,0,225.233,0.586685,2.55332,3.72668,-10.919
1.056,80,70.5331,9.46694,0,-420.384,0.284008,2.85599,3.42401,-10.3013
1.088,80,65.1466,14.8534,0,224.437,0.445603,2.6944,3.5856,-9.56143
1.12,80,63.8865,16.1135,0,52.5013,0.483404,2.6566,3.6234,-8.82786
1.152,80,57.5568,22.4432,0,263.739,0.673296,2.4667,3.8133,-7.95922
1.184,80,61.9359,18.0641,0,-182.462,0.541924,2.59808,3.68192,-7.25589
1.216,80,62.8384,17.1616,0,-37.6067,0.514847,2.62515,3.65485,-6.61332
1.248,80,75.5888,4.41117,0,-531.266,0.132335,3.00766,3.27234,-6.33064
1.28,80,62.9948,17.0052,0,524.753,0.510157,2.62984,3.65016,-5.74725
1.312,80,76.0394,3.96061,0,-543.526,0.118818,3.02118,3.25882,-5.51047
1.344,80,64.4829,15.5171,0,481.52,0.465513,2.67449,3.60551,-5.00981
1.376,80,69.7358,10.2642,0,-218.872,0.307925,2.83208,3.44792,-4.6546
1.408,80,69.9405,10.0595,0,-8.5274,0.301785,2.83821,3.44179,-4.32019
1.44,80,56.0895,23.9105,0,577.125,0.717315,2.42269,3.85731,-3.69284
1.472,80,66.7078,13.2922,0,-442.43,0.398765,2.74123,3.53877,-3.3236
1.504,80,66.5906,13.4094,0,4.88283,0.402281,2.73772,3.54228,-2.96758
1.536,80,63.9,16.1,0,112.11,0.483,2.657,3.623,-2.57034
1.568,80,68.8101,11.1899,0,-204.589,0.335696,2.8043,3.4757,-2.28952
1.6,80,64.0327,15.9673,0,199.059,0.479018,2.66098,3.61902,-1.92439
1.632,80,69.0404,10.9596,0,-208.655,0.328787,2.81121,3.46879,-1.67176
1.664,80,71.641,8.35904,0,-108.355,0.250771,2.88923,3.39077,-1.47886
1.696,80,70.6565,9.34353,0,41.0204,0.280306,2.85969,3.42031,-1.27466
1.728,80,68.1183,11.8817,0,105.758,0.356452,2.78355,3.49645,-1.03103
1.76,80,63.2238,16.7762,0,203.936,0.503286,2.63671,3.64329,-0.707259
1.792,80,67.113,12.887,0,-162.048,0.386611,2.75339,3.52661,-0.464503
1.824,80,66.3238,13.6762,0,32.8827,0.410287,2.72971,3.55029,-0.21642
1.856,80,66.3178,13.6822,0,0.248951,0.410466,2.72953,3.55047,0.023211
1.888,80,72.4187,7.58127,0,-254.206,0.227438,2.91256,3.36744,0.151314
1.92,80,65.9877,14.0123,0,267.96,0.420369,2.71963,3.56037,0.38233
1.952,80,67.7732,12.2268,0,-74.3952,0.366805,2.7732,3.5068,0.576502
1.984,80,72.2705,7.72947,0,-187.39,0.231884,2.90812,3.37188,0.691873
2.016,80,62.3661,17.6339,0,412.683,0.529016,2.61098,3.66902,0.960793
2.048,80,65.3934,14.6066,0,-126.135,0.438199,2.7018,3.5782,1.17401
2.08,80,68.2157,11.7843,0,-117.596,0.35353,2.78647,3.49353,1.33725
2.112,80,69.1976,10.8024,0,-40.9131,0.324072,2.81593,3.46407,1.48066
2.144,80,63.6019,16.3981,0,233.154,0.491943,2.64806,3.63194,1.70331
2.176,80,64.2439,15.7561,0,-26.7517,0.472682,2.66732,3.61268,1.90996
2.208,80,67.9558,12.0442,0,-154.662,0.361325,2.77867,3.50133,2.05684
2.24,80,65.7888,14.2112,0,90.2922,0.426336,2.71366,3.56634,2.23047
2.272,80,70.6775,9.32253,0,-203.694,0.279676,2.86032,3.41968,2.33036
2.304,80,70.656,9.34395,0,0.892667,0.280319,2.85968,3.42032,2.42777
2.336,80,68.4743,11.5257,0,90.907,0.345772,2.79423,3.48577,2.5524
2.368,80,67.1553,12.8447,0,54.9592,0.385342,2.75466,3.52534,2.69148
2.4,80,68.1383,11.8617,0,-40.9589,0.355852,2.78415,3.49585,2.81375
2.432,80,69.9057,10.0943,0,-73.6438,0.302828,2.83717,3.44283,2.90955
2.464,80,67.5155,12.4845,0,99.5919,0.374534,2.76547,3.51453,3.0339
2.496,80,64.1285,15.8715,0,141.125,0.476144,2.66386,3.61614,3.19848
2.528,80,70.9211,9.07887,0,-283.025,0.272366,2.86763,3.41237,3.27292
2.56,80,72.1525,7.84751,0,-51.3064,0.235425,2.90457,3.37543,3.3301
2.592,80,63.3018,16.6982,0,368.778,0.500946,2.63905,3.64095,3.49514
2.624,80,67.2507,12.7493,0,-164.536,0.38248,2.75752,3.52248,3.608
2.656,80,70.0958,9.90418,0,-118.548,0.297125,2.84287,3.43713,3.68385
2.688,80,74.5253,5.47471,0,-184.562,0.164241,2.97576,3.30424,3.70517
2.72,80,67.2725,12.7275,0,302.2,0.381825,2.75817,3.52183,3.81132
2.752,80,69.209,10.791,0,-80.6878,0.32373,2.81627,3.46373,3.89248
2.784,80,70.18,9.81999,0,-40.4587,0.2946,2.8454,3.4346,3.96061
2.816,80,67.2289,12.7711,0,122.961,0.383132,2.75687,3.52313,4.06073
2.848,80,62.4223,17.5777,0,200.276,0.52733,2.61267,3.66733,4.2126
2.88,80,72.0519,7.94812,0,-401.232,0.238444,2.90156,3.37844,4.25411
2.912,80,67.2144,12.7856,0,201.564,0.383569,2.75643,3.52357,4.34786
2.944,80,64.8697,15.1303,0,97.6924,0.453908,2.68609,3.59391,4.46506
2.976,80,71.9322,8.06784,0,-294.268,0.242035,2.89796,3.38204,4.5038
3.008,80,71.9723,8.02771,0,-1.67229,0.240831,2.89917,3.38083,4.54129
3.04,80,66.8491,13.1509,0,213.466,0.394527,2.74547,3.53453,4.63192
3.072,80,82.8535,-2.85351,0,-666.85,-0.0856054,3.22561,3.05439,4.55395
3.104,80,86.0768,-6.07675,0,-134.302,-0.182303,3.3223,2.9577,4.44435
3.136,80,79.8792,0.12079,0,258.231,0.0036237,3.13638,3.14362,4.40023
3.168,80,89.5979,-9.59787,0,-404.944,-0.287936,3.42794,2.85206,4.25884
3.2,80,92.2539,-12.2539,0,-110.666,-0.367616,3.50762,2.77238,4.09371
3.232,80,90.1496,-10.1496,0,87.6793,-0.304487,3.44449,2.83551,3.95269
3.264,80,92.5091,-12.5091,0,-98.3165,-0.375274,3.51527,2.76473,3.7913
3.296,80,107.659,-27.6591,0,-631.247,-0.829772,3.96977,2.31023,3.48595
3.328,80,101.268,-21.2684,0,266.28,-0.638051,3.77805,2.50195,3.24793
3.36,80,108.887,-28.8867,0,-317.432,-0.866602,4.0066,2.2734,2.94189
3.392,80,106.721,-26.721,0,90.2407,-0.801629,3.94163,2.33837,2.66205
3.424,80,106.11,-26.1104,0,25.4387,-0.783313,3.92331,2.35669,2.39315
3.456,80,108.732,-28.7319,0,-109.226,-0.861956,4.00196,2.27804,2.10495
3.488,80,112.429,-32.4289,0,-154.043,-0.972866,4.11287,2.16713,1.78813
3.52,80,108.057,-28.0572,0,182.155,-0.841715,3.98171,2.29829,1.51681
3.552,80,108.611,-28.6108,0,-23.0698,-0.858325,3.99832,2.28168,1.24539
3.584,80,105.759,-25.7594,0,118.808,-0.772783,3.91278,2.36722,1.00427
3.616,80,115.93,-35.9302,0,-423.781,-1.07791,4.21791,2.06209,0.677421
3.648,80,112.947,-32.9466,0,124.318,-0.988397,4.1284,2.1516,0.382474
3.68,80,114.909,-34.9094,0,-81.7846,-1.04728,4.18728,2.09272,0.0755879
3.712,80,121.401,-41.4015,0,-270.504,-1.24204,4.38204,1.89796,-0.281973
3.744,80,113.386,-33.3855,0,333.998,-1.00157,4.14157,2.13843,-0.564909
3.776,80,112.037,-32.0367,0,56.202,-0.9611,4.1011,2.1789,-0.831619
