time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,177.168,-77.1678,-1.23469,-4822.99,-0.154336,3.29434,2.98566
0.064,100,184.731,-84.7306,-2.59037,-472.67,-0.169461,3.30946,2.97054
0.096,100,184.109,-84.1089,-3.93612,38.8546,-0.168218,3.30822,2.97178
0.128,100,173.189,-73.1889,-5.10714,682.498,-0.146378,3.28638,2.99362
0.16,100,173.399,-73.3992,-6.28153,-13.1396,-0.146798,3.2868,2.9932
0.192,100,180.772,-80.7716,-7.57387,-460.778,-0.161543,3.30154,2.97846
0.224,100,178.108,-78.1082,-8.8236,166.467,-0.156216,3.29622,2.98378
0.256,100,158.089,-58.0889,-9.75303,1251.2,-0.116178,3.25618,3.02382
0.288,100,172.005,-72.0048,-10.9051,-869.744,-0.14401,3.28401,2.99599
0.32,100,179.621,-79.6214,-12.179,-476.037,-0.159243,3.29924,2.98076
0.352,100,171.021,-71.0215,-13.3154,537.496,-0.142043,3.28204,2.99796
0.384,100,171.933,-71.9327,-14.4663,-56.9541,-0.143865,3.28387,2.99613
0.416,100,178.039,-78.0394,-15.7149,-381.669,-0.156079,3.29608,2.98392
0.448,100,174.234,-74.2336,-16.9027,237.866,-0.148467,3.28847,2.99153
0.48,100,169.025,-69.0254,-18.0071,325.512,-0.138051,3.27805,3.00195
0.512,100,160.181,-60.1805,-18.97,552.804,-0.120361,3.26036,3.01964
0.544,100,166.772,-66.7718,-20.0383,-411.953,-0.133544,3.27354,3.00646
0.576,100,163.988,-63.9883,-21.0621,173.967,-0.127977,3.26798,3.01202
0.608,100,157.307,-57.3073,-21.9791,417.563,-0.114615,3.25461,3.02539
0.64,100,161.721,-61.7208,-22.9666,-275.844,-0.123442,3.26344,3.01656
0.672,100,144.02,-44.02,-23.6709,1106.3,-0.0880399,3.22804,3.05196
0.704,100,155.195,-55.1951,-24.554,-698.449,-0.11039,3.25039,3.02961
0.736,100,159.324,-59.3238,-25.5032,-258.043,-0.118648,3.25865,3.02135
0.768,100,149.833,-49.8331,-26.3005,593.172,-0.0996662,3.23967,3.04033
0.8,100,149.926,-49.9258,-27.0994,-5.7937,-0.0998516,3.23985,3.04015
0.832,100,156.47,-56.4702,-28.0029,-409.026,-0.11294,3.25294,3.02706
0.864,100,153.965,-53.965,-28.8663,156.572,-0.10793,3.24793,3.03207
0.896,100,146.08,-46.0803,-29.6036,492.798,-0.0921606,3.23216,3.04784
0.928,100,152.688,-52.6876,-30.4466,-412.955,-0.105375,3.24538,3.03462
0.96,100,159.918,-59.9175,-31.4053,-451.875,-0.119835,3.25984,3.02016
0.992,100,145.719,-45.7188,-32.1368,887.42,-0.0914377,3.23144,3.04856
1.024,100,136.114,-36.1142,-32.7146,600.288,-0.0722285,3.21223,3.06777
1.056,100,149.76,-49.7599,-33.5108,-852.855,-0.0995198,3.23952,3.04048
1.088,100,140.925,-40.9248,-34.1656,552.196,-0.0818496,3.22185,3.05815
1.12,100,137.234,-37.2336,-34.7613,230.698,-0.0744672,3.21447,3.06553
1.152,100,125.977,-25.9773,-35.1769,703.519,-0.0519546,3.19195,3.08805
