time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,177.168,-77.1678,-1.23469,-4822.99,-2.31504,5.45504,0.824965
0.064,100,184.731,-84.7306,-2.59037,-472.67,-2.54192,5.68192,0.598083
0.096,100,181.436,-81.436,-3.89335,205.913,-2.44308,5.58308,0.696921
0.128,100,166.739,-66.7391,-4.96118,918.552,-2.00217,5.14217,1.13783
0.16,100,161.025,-61.0254,-5.93758,357.107,-1.83076,4.97076,1.30924
0.192,100,159.578,-59.5783,-6.89084,90.4417,-1.78735,4.92735,1.35265
0.224,100,151.39,-51.3904,-7.71308,511.747,-1.54171,4.68171,1.59829
0.256,100,125.83,-25.8295,-8.12635,1597.55,-0.774886,3.91489,2.36511
0.288,100,134.342,-34.3421,-8.67583,-532.039,-1.03026,4.17026,2.10974
0.32,100,136.703,-36.7035,-9.26309,-147.584,-1.1011,4.2411,2.0389
0.352,100,121.958,-21.9576,-9.61441,921.616,-0.658729,3.79873,2.48127
0.384,100,118.918,-18.918,-9.91709,189.981,-0.567539,3.70754,2.57246
0.416,100,123.893,-23.8931,-10.2994,-310.946,-0.716793,3.85679,2.42321
0.448,100,118.729,-18.7286,-10.599,322.783,-0.561857,3.70186,2.57814
0.48,100,112.293,-12.2929,-10.7957,402.23,-0.368786,3.50879,2.77121
0.512,100,103.417,-3.41729,-10.8504,554.724,-0.102519,3.24252,3.03748
0.544,100,108.722,-8.72201,-10.99,-331.545,-0.26166,3.40166,2.87834
0.576,100,104.853,-4.85348,-11.0676,241.783,-0.145604,3.2856,2.9944
0.608,100,96.9791,3.02092,-11.0193,492.15,0.0906276,3.04937,3.23063
0.64,100,96.1822,3.81785,-10.9582,49.8078,0.114535,3.02546,3.25454
0.672,100,79.5954,20.4046,-10.6317,1036.67,0.612139,2.52786,3.75214
0.704,100,86.158,13.842,-10.4102,-410.163,0.415261,2.72474,3.55526
0.736,100,87.8251,12.1749,-10.2154,-104.197,0.365246,2.77475,3.50525
0.768,100,78.7528,21.2472,-9.87549,567.021,0.637416,2.50258,3.77742
0.8,100,77.6836,22.3164,-9.51843,66.8269,0.669493,2.47051,3.80949
0.832,100,80.704,19.296,-9.20969,-188.776,0.578881,2.56112,3.71888
0.864,100,77.7133,22.2867,-8.8531,186.919,0.668602,2.4714,3.8086
0.896,100,71.2876,28.7124,-8.39371,401.606,0.861373,2.27863,4.00137
0.928,100,75.5156,24.4844,-8.00195,-264.25,0.734533,2.40547,3.87453
0.96,100,80.2191,19.7809,-7.68546,-293.969,0.593428,2.54657,3.73343
0.992,100,70.7028,29.2972,-7.2167,594.767,0.878916,2.26108,4.01892
1.024,100,64.5791,35.4209,-6.64997,382.73,1.06263,2.07737,4.20263
1.056,100,74.7115,25.2885,-6.24535,-633.275,0.758655,2.38135,3.89865
1.088,100,68.4559,31.5441,-5.74065,390.976,0.946323,2.19368,4.08632
1.12,100,66.8387,33.1613,-5.21007,101.075,0.994839,2.14516,4.13484
1.152,100,60.2148,39.7852,-4.5735,413.996,1.19356,1.94644,4.33356
1.184,100,64.7602,35.2398,-4.00967,-284.088,1.0572,2.0828,4.1972
1.216,100,65.5932,34.4068,-3.45916,-52.0624,1.03221,2.10779,4.17221
1.248,100,78.3942,21.6058,-3.11346,-800.066,0.648173,2.49183,3.78817
1.28,100,68.3365,31.6635,-2.60685,628.609,0.949905,2.19009,4.08991
1.312,100,81.5083,18.4917,-2.31098,-823.239,0.554751,2.58525,3.69475
1.344,100,69.362,30.638,-1.82077,759.144,0.91914,2.22086,4.05914
1.376,100,74.5944,25.4056,-1.41428,-327.023,0.762169,2.37783,3.90217
1.408,100,72.3935,27.6065,-0.972579,137.554,0.828195,2.31181,3.96819
1.44,100,58.3241,41.6759,-0.305765,879.336,1.25028,1.88972,4.39028
1.472,100,68.9894,31.0106,0.190404,-666.58,0.930318,2.20968,4.07032
1.504,100,68.8807,31.1193,0.688314,6.79596,0.93358,2.20642,4.07358
1.536,100,66.1947,33.8053,1.2292,167.872,1.01416,2.12584,4.15416
1.568,100,71.1613,28.8387,1.69062,-310.414,0.86516,2.27484,4.00516
1.6,100,66.4905,33.5095,2.22677,291.928,1.00529,2.13471,4.14529
1.632,100,71.5985,28.4015,2.68119,-319.25,0.852045,2.28795,3.99205
1.664,100,73.5555,26.4445,3.10431,-122.311,0.793336,2.34666,3.93334
