time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,86.0354,13.9646,0.446867,436.393,2.09469,1.04531,5.23469
0.064,100,88.729,11.271,0.80754,-84.1738,1.69065,1.44935,4.83065
0.096,100,87.6556,12.3444,1.20256,33.5433,1.85166,1.28834,4.99166
0.128,100,83.4542,16.5458,1.73203,131.292,2.48186,0.658137,5.62186
0.16,100,85.6505,14.3495,2.19121,-68.6343,2.15242,0.987582,5.29242
0.192,100,82.38,17.62,2.75505,102.205,2.643,0.496996,5.783
0.224,100,78.7037,21.2963,3.43653,114.882,3.19444,-0.0544379,6.28
0.256,100,74.3346,25.6654,4.25782,136.537,3.84981,-0.709814,6.28
0.288,100,80.5177,19.4823,4.88125,-193.224,2.92234,0.217662,6.06234
0.32,100,81.8532,18.1468,5.46195,-41.7341,2.72201,0.417986,5.86201
0.352,100,81.8232,18.1768,6.04361,0.93804,2.72652,0.413483,5.86652
0.384,100,80.447,19.553,6.6693,43.0071,2.93295,0.207049,6.07295
0.416,100,82.1315,17.8685,7.24109,-52.6421,2.68027,0.459731,5.82027
0.448,100,81.1497,18.8503,7.84431,30.6836,2.82755,0.31245,5.96755
0.48,100,77.0012,22.9988,8.58027,129.639,3.44982,-0.309817,6.28
0.512,100,74.1607,25.8393,9.40713,88.7675,3.8759,-0.735901,6.28
0.544,100,80.9053,19.0947,10,-210.769,2.86421,0.27579,6.00421
0.576,100,80.3254,19.6746,10,18.1201,2.95119,0.188814,6.09119
0.608,100,76.6219,23.3781,10,115.735,3.50672,-0.366715,6.28
0.64,100,79.607,20.393,10,-93.2847,3.05895,0.0810514,6.19895
0.672,100,76.4616,23.5384,10,98.2927,3.53075,-0.390753,6.28
0.704,100,78.85,21.15,10,-74.6366,3.1725,-0.0324978,6.28
0.736,100,80.1373,19.8627,10,-40.2291,2.9794,0.160602,6.1194
0.768,100,77.345,22.655,10,87.2613,3.39825,-0.258252,6.28
0.8,100,80.7023,19.2977,10,-104.916,2.89465,0.245345,6.03465
0.832,100,81.9296,18.0704,10,-38.352,2.71057,0.429435,5.85057
0.864,100,81.4396,18.5604,10,15.3101,2.78405,0.355946,5.92405
0.896,100,82.0961,17.9039,10,-20.5136,2.68559,0.454412,5.82559
0.928,100,85.6896,14.3104,10,-112.297,2.14656,0.993438,5.28656
0.96,100,87.5988,12.4012,10,-59.6631,1.86018,1.27982,5.00018
0.992,100,82.2285,17.7715,10,167.823,2.66573,0.474271,5.80573
1.024,100,80.7256,19.2744,10,46.9656,2.89116,0.248837,6.03116
1.056,100,87.7155,12.2845,10,-218.436,1.84267,1.29733,4.98267
1.088,100,83.7607,16.2393,10,123.588,2.43589,0.704106,5.57589
1.12,100,88.8871,11.1129,10,-160.2,1.66693,1.47307,4.80693
1.152,100,87.3997,12.6003,10,46.4828,1.89005,1.24995,5.03005
1.184,100,91.9313,8.06866,10,-141.615,1.2103,1.9297,4.3503
1.216,100,94.5156,5.48438,10,-80.7589,0.822657,2.31734,3.96266
1.248,100,99.2966,0.703419,10,-149.405,0.105513,3.03449,3.24551
1.28,100,102.548,-2.54801,9.91846,-101.607,-0.382202,3.5222,2.7578
1.312,100,108.662,-8.66239,9.64127,-191.074,-1.29936,4.43936,1.84064
1.344,100,112.183,-12.183,9.25141,-110.02,-1.82745,4.96745,1.31255
1.376,100,118.926,-18.9263,8.64577,-210.727,-2.83894,5.97894,0.301056
1.408,100,135.888,-35.8878,7.49736,-530.048,-5.38317,6.28,-2.24317
