time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,86.0354,13.9646,0.446867,436.393,0.349115,2.79089,3.48911
0.064,100,88.729,11.271,0.80754,-84.1738,0.281776,2.85822,3.42178
0.096,100,86.0833,13.9167,1.25287,82.6778,0.347918,2.79208,3.48792
0.128,100,79.1264,20.8736,1.92083,217.403,0.52184,2.61816,3.66184
0.16,100,79.2365,20.7635,2.58526,-3.44246,0.519086,2.62091,3.65909
0.192,100,74.062,25.938,3.41528,161.704,0.648449,2.49155,3.78845
0.224,100,71.9314,28.0686,4.31347,66.5808,0.701714,2.43829,3.84171
0.256,100,68.2046,31.7954,5.33092,116.463,0.794884,2.34512,3.93488
0.288,100,73.8603,26.1397,6.16739,-176.741,0.653492,2.48651,3.79349
0.32,100,75.3551,24.6449,6.95603,-46.7102,0.616124,2.52388,3.75612
0.352,100,75.3061,24.6939,7.74623,1.52931,0.617347,2.52265,3.75735
0.384,100,74.2405,25.7595,8.57054,33.302,0.643989,2.49601,3.78399
0.416,100,76.459,23.541,9.32385,-69.3284,0.588526,2.55147,3.72853
0.448,100,76.4108,23.5892,10,1.50591,0.589731,2.55027,3.72973
0.48,100,76.3645,23.6355,10,1.44478,0.590887,2.54911,3.73089
0.512,100,72.4674,27.5326,10,121.786,0.688316,2.45168,3.82832
0.544,100,77.2381,22.7619,10,-149.085,0.569048,2.57095,3.70905
0.576,100,76.818,23.182,10,13.1282,0.57955,2.56045,3.71955
0.608,100,73.0128,26.9872,10,118.913,0.674681,2.46532,3.81468
0.64,100,76.7149,23.2851,10,-115.692,0.582127,2.55787,3.72213
0.672,100,73.6372,26.3628,10,96.179,0.659071,2.48093,3.79907
0.704,100,77.2071,22.7929,10,-111.561,0.569821,2.57018,3.70982
0.736,100,82.015,17.985,10,-150.245,0.449625,2.69037,3.58963
0.768,100,81.5328,18.4672,10,15.0698,0.461681,2.67832,3.60168
0.8,100,86.4976,13.5024,10,-155.153,0.337559,2.80244,3.47756
0.832,100,87.8708,12.1292,10,-42.911,0.30323,2.83677,3.44323
0.864,100,88.5905,11.4095,10,-22.4916,0.285237,2.85476,3.42524
0.896,100,90.3366,9.66338,10,-54.5654,0.241585,2.89842,3.38158
0.928,100,95.2473,4.75266,10,-153.46,0.118816,3.02118,3.25882
0.96,100,98.2037,1.79635,10,-92.3846,0.0449087,3.09509,3.18491
0.992,100,93.6017,6.39833,10,143.812,0.159958,2.98004,3.29996
1.024,100,92.786,7.21396,10,25.4884,0.180349,2.95965,3.32035
1.056,100,100.795,-0.79495,9.97456,-250.278,-0.0198737,3.15987,3.12013
1.088,100,96.4254,3.5746,10,136.548,0.089365,3.05063,3.22937
1.12,100,100.015,-0.0149992,9.99952,-112.175,-0.00037498,3.14037,3.13963
1.152,100,96.5336,3.46644,10,108.795,0.086661,3.05334,3.22666
1.184,100,100.602,-0.601768,9.98074,-127.131,-0.0150442,3.15504,3.12496
1.216,100,102.237,-2.23738,9.90915,-51.113,-0.0559346,3.19593,3.08407
1.248,100,108.495,-8.49538,9.63729,-195.562,-0.212385,3.35238,2.92762
1.28,100,108.497,-8.49673,9.3654,-0.0423342,-0.212418,3.35242,2.92758
1.312,100,112.096,-12.0963,8.97832,-112.485,-0.302406,3.44241,2.83759
1.344,100,109.907,-9.90664,8.66131,68.4255,-0.247666,3.38767,2.89233
1.376,100,113.47,-13.4704,8.23026,-111.366,-0.336759,3.47676,2.80324
1.408,100,115.596,-15.5958,7.73119,-66.42,-0.389895,3.52989,2.75011
1.44,100,111.732,-11.7316,7.35578,120.756,-0.29329,3.43329,2.84671
1.472,100,120.078,-20.0779,6.71329,-260.821,-0.501947,3.64195,2.63805
1.504,100,118.432,-18.4318,6.12347,51.4407,-0.460794,3.60079,2.67921
1.536,100,121.635,-21.6349,5.43116,-100.097,-0.540872,3.68087,2.59913
1.568,100,128.489,-28.4894,4.51949,-214.205,-0.712235,3.85224,2.42776
1.6,100,126.075,-26.0752,3.68509,75.4435,-0.65188,3.79188,2.48812
1.632,100,133.497,-33.4965,2.6132,-231.916,-0.837413,3.97741,2.30259
1.664,100,134.697,-34.6974,1.50288,-37.5268,-0.867435,4.00743,2.27257
1.696,100,137.667,-37.667,0.297538,-92.8001,-0.941675,4.08167,2.19833
1.728,100,131.511,-31.5109,-0.710811,192.378,-0.787772,3.92777,2.35223
1.76,100,132.922,-32.9216,-1.7643,-44.0835,-0.823039,3.96304,2.31696
1.792,100,137.173,-37.1727,-2.95383,-132.848,-0.929317,4.06932,2.21068
1.824,100,133.153,-33.1525,-4.01471,125.63,-0.828813,3.96881,2.31119
1.856,100,131.89,-31.8897,-5.03518,39.4623,-0.797244,3.93724,2.34276
1.888,100,139.314,-39.3137,-6.29322,-231.998,-0.982842,4.12284,2.15716
1.92,100,130.984,-30.9839,-7.2847,260.304,-0.774598,3.9146,2.3654
1.952,100,132.978,-32.9782,-8.34001,-62.3222,-0.824456,3.96446,2.31554
1.984,100,138.365,-38.3653,-9.5677,-168.345,-0.959132,4.09913,2.18087
2.016,100,126.797,-26.7967,-10,361.52,-0.669917,3.80992,2.47008
2.048,100,126.623,-26.6228,-10,5.43191,-0.665571,3.80557,2.47443
2.08,100,128.826,-28.8257,-10,-68.8405,-0.720643,3.86064,2.41936
2.112,100,127.069,-27.0686,-10,54.9099,-0.676715,3.81672,2.46328
2.144,100,119.02,-19.0196,-10,251.531,-0.475491,3.61549,2.66451
2.176,100,115.764,-15.7643,-10,101.728,-0.394108,3.53411,2.74589
2.208,100,115.828,-15.8279,-10,-1.98644,-0.395697,3.5357,2.7443
2.24,100,108.762,-8.76217,-10,220.804,-0.219054,3.35905,2.92095
2.272,100,114.347,-14.3467,-10,-174.517,-0.358668,3.49867,2.78133
2.304,100,109.8,-9.79981,-10,142.09,-0.244995,3.385,2.895
2.336,100,107.77,-7.76971,-10,63.4406,-0.194243,3.33424,2.94576
2.368,100,110.237,-10.2374,-10,-77.1152,-0.255935,3.39594,2.88406
2.4,100,111.7,-11.7004,-10,-45.719,-0.29251,3.43251,2.84749
2.432,100,106.564,-6.56368,-10,160.523,-0.164092,3.30409,2.97591
2.464,100,105.975,-5.97522,-10,18.3893,-0.14938,3.28938,2.99062
2.496,100,102.553,-2.55276,-10,106.952,-0.063819,3.20382,3.07618
2.528,100,104.653,-4.65302,-10,-65.6332,-0.116326,3.25633,3.02367
