time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,177.168,-77.1678,-1.23469,-4822.99,-1.54336,4.68336,1.59664
0.064,100,184.731,-84.7306,-2.59037,-472.67,-1.69461,4.83461,1.44539
0.096,100,182.767,-82.7673,-3.91465,122.706,-1.65535,4.79535,1.48465
0.128,100,169.858,-69.8579,-5.03238,806.833,-1.39716,4.53716,1.74284
0.16,100,166.843,-66.8427,-6.10186,188.455,-1.33685,4.47685,1.80315
0.192,100,168.591,-68.5914,-7.19932,-109.295,-1.37183,4.51183,1.76817
0.224,100,159.328,-59.3284,-8.14858,578.936,-1.18657,4.32657,1.95343
0.256,100,136.657,-36.6572,-8.73509,1416.95,-0.733143,3.87314,2.40686
0.288,100,146.793,-46.7932,-9.48378,-633.5,-0.935863,4.07586,2.20414
0.32,100,151.739,-51.7389,-10.3116,-309.109,-1.03478,4.17478,2.10522
0.352,100,137.904,-37.9044,-10.9181,864.657,-0.758088,3.89809,2.38191
0.384,100,134.939,-34.9393,-11.4771,185.318,-0.698786,3.83879,2.44121
0.416,100,138.53,-38.5305,-12.0936,-224.448,-0.77061,3.91061,2.36939
0.448,100,131.08,-31.0803,-12.5909,465.638,-0.621605,3.76161,2.51839
0.48,100,121.682,-21.682,-12.9378,587.393,-0.43364,3.57364,2.70636
0.512,100,111.51,-11.5102,-13.122,635.737,-0.230204,3.3702,2.9098
0.544,100,119.807,-19.8065,-13.4389,-518.521,-0.396131,3.53613,2.74387
0.576,100,116.802,-16.8022,-13.7077,187.773,-0.336043,3.47604,2.80396
0.608,100,110.469,-10.4693,-13.8752,395.806,-0.209386,3.34939,2.93061
0.64,100,112.973,-12.9728,-14.0828,-156.469,-0.259456,3.39946,2.88054
0.672,100,97.7597,2.24026,-14.0469,950.815,0.0448053,3.09519,3.18481
0.704,100,105.549,-5.54911,-14.1357,-486.836,-0.110982,3.25098,3.02902
0.736,100,107.029,-7.02873,-14.2482,-92.4757,-0.140575,3.28057,2.99943
0.768,100,97.2163,2.78365,-14.2036,613.274,0.055673,3.08433,3.19567
0.8,100,94.4109,5.58914,-14.1142,175.343,0.111783,3.02822,3.25178
0.832,100,95.3605,4.63945,-14.04,-59.3556,0.092789,3.04721,3.23279
0.864,100,90.1872,9.81277,-13.883,323.333,0.196255,2.94374,3.33626
0.896,100,83.1855,16.8145,-13.6139,437.606,0.336289,2.80371,3.47629
0.928,100,85.9436,14.0564,-13.389,-172.381,0.281127,2.85887,3.42113
0.96,100,92.0423,7.95771,-13.2617,-381.166,0.159154,2.98085,3.29915
0.992,100,77.1473,22.8527,-12.8961,930.937,0.457054,2.68295,3.59705
1.024,100,68.5188,31.4812,-12.3924,539.282,0.629624,2.51038,3.76962
1.056,100,77.3378,22.6622,-12.0298,-551.19,0.453243,2.68676,3.59324
1.088,100,68.9173,31.0827,-11.5324,526.285,0.621655,2.51835,3.76165
1.12,100,66.22,33.78,-10.992,168.58,0.6756,2.4644,3.8156
1.152,100,58.2541,41.7459,-10.324,497.87,0.834919,2.30508,3.97492
1.184,100,61.944,38.056,-9.71514,-230.621,0.76112,2.37888,3.90112
1.216,100,62.8384,37.1616,-9.12055,-55.902,0.743231,2.39677,3.88323
1.248,100,75.5888,24.4112,-8.72997,-796.899,0.488223,2.65178,3.62822
1.28,100,62.9948,37.0052,-8.13789,787.129,0.740105,2.3999,3.8801
1.312,100,76.0394,23.9606,-7.75452,-815.289,0.479212,2.66079,3.61921
1.344,100,64.4829,35.5171,-7.18625,722.28,0.710342,2.42966,3.85034
1.376,100,69.7358,30.2642,-6.70202,-328.308,0.605283,2.53472,3.74528
1.408,100,69.9405,30.0595,-6.22107,-12.7911,0.60119,2.53881,3.74119
1.44,100,56.0895,43.9105,-5.5185,865.687,0.87821,2.26179,4.01821
1.472,100,66.7078,33.2922,-4.98582,-663.645,0.665844,2.47416,3.80584
1.504,100,66.5906,33.4094,-4.45127,7.32425,0.668187,2.47181,3.80819
1.536,100,63.9,36.1,-3.87367,168.165,0.722,2.418,3.862
1.568,100,68.8101,31.1899,-3.37464,-306.884,0.623797,2.5162,3.7638
1.6,100,64.0327,35.9673,-2.79916,298.589,0.719346,2.42065,3.85935
1.632,100,69.0404,30.9596,-2.30381,-312.983,0.619191,2.52081,3.75919
1.664,100,71.641,28.359,-1.85006,-162.532,0.567181,2.57282,3.70718
