time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed
0.032,100,86.0354,13.9646,0.446867,436.393,0.209469,2.93053,3.34947
0.064,100,88.729,11.271,0.80754,-84.1738,0.169065,2.97093,3.30907
0.096,100,85.6152,14.3848,1.26785,97.3045,0.215772,2.92423,3.35577
0.128,100,79.0768,20.9232,1.9374,204.326,0.313848,2.82615,3.45385
0.16,100,78.3087,21.6913,2.63152,24.0019,0.325369,2.81463,3.46537
0.192,100,72.9703,27.0297,3.49647,166.827,0.405446,2.73455,3.54545
0.224,100,71.7496,28.2504,4.40048,38.145,0.423755,2.71624,3.56376
0.256,100,68.0156,31.9844,5.42398,116.69,0.479766,2.66023,3.61977
0.288,100,73.6802,26.3198,6.26621,-177.02,0.394797,2.7452,3.5348
0.32,100,75.1606,24.8394,7.06107,-46.263,0.372591,2.76741,3.51259
0.352,100,75.3501,24.6499,7.84987,-5.92249,0.369748,2.77025,3.50975
0.384,100,74.2568,25.7432,8.67365,34.1667,0.386148,2.75385,3.52615
0.416,100,76.5815,23.4185,9.42304,-72.6472,0.351277,2.78872,3.49128
0.448,100,76.3614,23.6386,10,6.87739,0.354578,2.78542,3.49458
0.48,100,76.1382,23.8618,10,6.97726,0.357927,2.78207,3.49793
0.512,100,72.1872,27.8128,10,123.468,0.417192,2.72281,3.55719
0.544,100,76.9432,23.0568,10,-148.626,0.345852,2.79415,3.48585
0.576,100,76.3266,23.6734,10,19.2679,0.3551,2.7849,3.4951
0.608,100,72.5765,27.4235,10,117.192,0.411352,2.72865,3.55135
0.64,100,76.2516,23.7484,10,-114.846,0.356226,2.78377,3.49623
0.672,100,73.0724,26.9276,10,99.348,0.403913,2.73609,3.54391
0.704,100,75.6939,24.3061,10,-81.9216,0.364591,2.77541,3.50459
0.736,100,77.4289,22.5711,10,-54.2173,0.338567,2.80143,3.47857
0.768,100,75.042,24.958,10,74.5912,0.37437,2.76563,3.51437
0.8,100,78.0779,21.9221,10,-94.8733,0.328831,2.81117,3.46883
0.832,100,78.224,21.776,10,-4.56667,0.326639,2.81336,3.46664
0.864,100,77.3536,22.6464,10,27.2008,0.339696,2.8003,3.4797
0.896,100,78.0186,21.9814,10,-20.7802,0.329721,2.81028,3.46972
0.928,100,81.554,18.446,10,-110.481,0.27669,2.86331,3.41669
0.96,100,83.5919,16.4081,10,-63.6845,0.246122,2.89388,3.38612
