time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
1.824,80,68.0263,11.9737,-8.89766,13.4556,0.177581,2.96242,3.31758,-6.50414
1.856,80,67.9497,12.0503,-8.60845,11.4028,0.164564,2.97544,3.30456,-6.18423
1.888,80,73.6214,6.37858,-8.45536,-38.1417,-0.236819,3.37682,2.90318,-5.9713
1.92,80,67.5655,12.4345,-8.15694,19.9527,0.229847,2.91015,3.36985,-5.66454
1.952,80,69.3077,10.6923,-7.90032,1.44349,0.0838555,3.05614,3.22386,-5.39639
1.984,80,73.8257,6.17428,-7.75214,-36.4952,-0.224989,3.36499,2.91501,-5.20977
2.016,80,63.4365,16.5635,-7.35461,57.3809,0.534294,2.60571,3.67429,-4.86416
2.048,80,66.4257,13.5743,-7.02883,20.9945,0.250707,2.88929,3.39071,-4.57606
2.08,80,69.7494,10.2506,-6.78282,-10.9019,-0.00432927,3.14433,3.13567,-4.34796
2.112,80,70.8791,9.1209,-6.56392,-18.1357,-0.0650852,3.20509,3.07491,-4.14389
2.144,80,65.8003,14.1997,-6.22312,27.8147,0.306927,2.83307,3.44693,-3.8701
2.176,80,66.1028,13.8972,-5.88959,19.731,0.247926,2.89207,3.38793,-3.60882
2.208,80,69.9884,10.0116,-5.64931,-16.5954,-0.0435484,3.18355,3.09645,-3.41142
2.24,80,68.0583,11.9417,-5.36271,2.80819,0.11202,3.02798,3.25202,-3.19209
2.272,80,73.2093,6.79069,-5.19974,-40.6786,-0.24176,3.38176,2.89824,-3.05149
2.304,80,73.9312,6.06877,-5.05409,-38.5589,-0.232833,3.37283,2.90717,-2.92482
2.336,80,71.1027,8.89733,-4.84055,-7.27577,0.0147196,3.12528,3.15472,-2.76287
2.368,80,69.4814,10.5186,-4.5881,7.68957,0.135987,3.00401,3.27599,-2.58339
2.4,80,71.4533,8.54667,-4.38298,-10.2807,-0.00840279,3.1484,3.1316,-2.43499
2.432,80,73.854,6.146,-4.23548,-28.2301,-0.156669,3.29667,2.98333,-2.32208
