time,setpoint,measured,err,sum_err,der,output,l_speed,r_speed,rolling_mean
2.048,80,114.573,-34.5729,0,-207.901,-2.37954,5.51954,0.76046,-36.208
2.08,80,118.044,-38.0442,0,-144.639,-1.82337,4.96337,1.31663,-36.2362
2.112,80,118.758,-38.758,0,-29.7405,-0.746144,3.88614,2.39386,-36.2744
2.144,80,110.12,-30.1199,0,359.921,3.03981,0.100187,6.17981,-36.1826
2.176,80,111.411,-31.4107,0,-53.7847,-0.885194,4.02519,2.25481,-36.1124
2.208,80,116.07,-36.0698,0,-194.127,-2.26734,5.40734,0.87266,-36.1118
2.24,80,113.035,-33.0345,0,126.469,0.798718,2.34128,3.93872,-36.0678
2.272,80,119.439,-39.4388,0,-266.847,-2.99497,6,0.145034,-36.1153
2.304,80,119.405,-39.4053,0,1.39921,-0.459641,3.59964,2.68036,-36.161
2.336,80,116.173,-36.1735,0,134.659,0.838445,2.30155,3.97845,-36.1612
2.368,80,114.257,-34.2575,0,79.8316,0.343319,2.79668,3.48332,-36.1354
2.4,80,115.217,-35.217,0,-39.9802,-0.800417,3.94042,2.33958,-36.1232
2.432,80,117.109,-37.1093,0,-78.844,-1.19039,4.33039,1.94961,-36.1362
2.464,80,113.361,-33.3608,0,156.188,1.07565,2.06435,4.21565,-36.1001
2.496,80,108.818,-28.8183,0,189.27,1.44279,1.69721,4.58279,-36.0068
2.528,80,117.518,-37.5183,0,-362.502,-3.87587,6,-0.735868,-36.0259
2.56,80,117.838,-37.8384,0,-13.337,-0.580096,3.7201,2.5599,-36.0486
2.592,80,106.683,-26.6826,0,464.827,4.07243,-0.932428,6.28,-35.9329
2.624,80,111.965,-31.965,0,-220.103,-2.46355,5.60355,0.676447,-35.8845
2.656,80,114.681,-34.6807,0,-113.153,-1.48547,4.62547,1.65453,-35.87
2.688,80,118.615,-38.6151,0,-163.933,-2.01254,5.15254,1.12746,-35.9027
2.72,80,108.436,-28.4357,0,424.142,3.66691,-0.526911,6.28,-35.8149
2.752,80,111.508,-31.5083,0,-128.025,-1.58793,4.72793,1.55207,-35.7648
2.784,80,111.501,-31.5005,0,0.324023,-0.374944,3.51494,2.76506,-35.7158
2.816,80,107.045,-27.0447,0,185.657,1.42992,1.71008,4.56992,-35.6172
2.848,80,101.935,-21.9348,0,212.915,1.74883,1.39117,4.88883,-35.4635
2.88,80,112.357,-32.3566,0,-434.242,-4.49186,6,-1.35186,-35.429
2.912,80,105.786,-25.7855,0,273.794,2.27793,0.862073,5.41793,-35.323
2.944,80,103.641,-23.6412,0,89.3451,0.560616,2.57938,3.70062,-35.196
2.976,80,109.556,-29.5563,0,-246.46,-2.68372,5.82372,0.456275,-35.1354
3.008,80,104.861,-24.8612,0,195.627,1.55034,1.58966,4.69034,-35.0261
3.04,80,97.9077,-17.9077,0,289.729,2.52305,0.616953,5.66305,-34.8459
3.072,80,111.775,-31.7746,0,-577.786,-5.84138,6,-2.70138,-34.8139
3.104,80,107.052,-27.0517,0,196.786,1.53501,1.60499,4.67501,-34.7339
3.136,80,98.0773,-18.0773,0,373.933,3.31674,-0.17674,6.28,-34.5639
3.168,80,105.266,-25.2655,0,-299.507,-3.13353,6,0.00647216,-34.47
3.2,80,101.329,-21.3286,0,164.04,1.29423,1.84577,4.43423,-34.3386
3.232,80,95.863,-15.863,0,227.73,1.96169,1.17831,5.10169,-34.1557
3.264,80,95.4661,-15.4661,0,16.5389,-0.0293004,3.1693,3.1107,-33.9724
3.296,80,106.727,-26.7267,0,-469.193,-4.7546,6,-1.6146,-33.9021
3.328,80,92.9253,-12.9253,0,575.06,5.27921,-2.13921,6.28,-33.7004
3.36,80,100.536,-20.5357,0,-317.101,-3.24303,6,-0.10303,-33.575
3.392,80,95.0906,-15.0906,0,226.88,1.96293,1.17707,5.10293,-33.4006
3.424,80,93.818,-13.818,0,53.0257,0.335277,2.80472,3.47528,-33.2176
3.456,80,94.3195,-14.3195,0,-20.8981,-0.369322,3.50932,2.77068,-33.0426
3.488,80,95.1072,-15.1072,0,-32.817,-0.491407,3.63141,2.64859,-32.8781
3.52,80,89.3372,-9.3372,0,240.414,2.15987,0.98013,5.29987,-32.6641
3.552,80,88.7078,-8.70783,0,26.2237,0.14332,2.99668,3.28332,-32.4483
3.584,80,85.6137,-5.61371,0,128.922,1.15095,1.98905,4.29095,-32.2087
3.616,80,92.6732,-12.6732,0,-294.144,-2.93174,6,0.20826,-32.0358
3.648,80,88.4031,-8.4031,0,177.919,1.5805,1.5595,4.7205,-31.8285
3.68,80,89.6439,-9.64387,0,-51.6985,-0.604277,3.74428,2.53572,-31.6356
3.712,80,92.819,-12.819,0,-132.298,-1.40404,4.54404,1.73596,-31.4734
3.744,80,83.9318,-3.93179,0,370.301,3.45217,-0.312166,6.28,-31.238
3.776,80,84.9226,-4.92263,0,-41.2852,-0.449217,3.58922,2.69078,-31.0149
3.808,80,84.2734,-4.27337,0,27.0527,0.204368,2.93563,3.34437,-30.7902
3.84,80,89.4138,-9.41378,0,-214.184,-2.137,5.277,1.003,-30.6121
3.872,80,80.5476,-0.547627,0,369.423,3.48448,-0.344477,6.28,-30.3636
3.904,80,86.3501,-6.35009,0,-241.769,-2.36092,5.50092,0.779081,-30.1668
3.936,80,86.0445,-6.04451,0,12.7324,0.0477874,3.09221,3.18779,-29.9707
3.968,80,83.2687,-3.26867,0,115.66,1.05376,2.08624,4.19376,-29.7553
4,80,84.4202,-4.42015,0,-47.9783,-0.506437,3.64644,2.63356,-29.5527
4.032,80,77.7451,2.2549,0,278.127,2.65536,0.484639,5.79536,-29.3002
4.064,80,84.4406,-4.44062,0,-278.98,-2.68965,5.82965,0.450351,-29.1045
4.096,80,85.4957,-5.49571,0,-43.9621,-0.48139,3.62139,2.65861,-28.92
4.128,80,81.601,-1.60104,0,162.278,1.51431,1.62569,4.65431,-28.7082
4.16,80,78.6758,1.32419,0,121.885,1.1677,1.9723,4.3077,-28.4772
4.192,80,86.6463,-6.64635,0,-332.106,-3.21816,6,-0.0781559,-28.3106
4.224,80,81.4076,-1.40764,0,218.28,2.04585,1.09415,5.18585,-28.1068
4.256,80,79.9264,0.0736018,0,61.7183,0.584121,2.55588,3.72412,-27.8949
4.288,80,68.2501,11.7499,0,486.512,4.73854,-1.59854,6.28,-27.599
4.32,80,73.5458,6.45415,0,-220.656,-2.00775,5.14775,1.13225,-27.3468
4.352,80,74.9317,5.06828,0,-57.7449,-0.48487,3.62487,2.65513,-27.1084
4.384,80,84.3171,-4.31706,0,-391.056,-3.74728,6,-0.607283,-26.9421
4.416,80,73.8353,6.16468,0,436.739,4.20116,-1.06116,6.28,-26.7022
4.448,80,84.5187,-4.51866,0,-445.139,-4.26079,6,-1.12079,-26.5426
4.48,80,78.3916,1.60836,0,255.292,2.43181,0.708187,5.57181,-26.3415
4.512,80,80.1868,-0.186834,0,-74.7997,-0.709099,3.8491,2.4309,-26.156
4.544,80,77.6457,2.35433,0,105.882,1.02883,2.11117,4.16883,-25.9552
4.576,80,73.2054,6.79463,0,185.013,1.82991,1.31009,4.96991,-25.7262
4.608,80,77.6216,2.37843,0,-184.009,-1.71034,4.85034,1.42966,-25.531
4.64,80,83.6297,-3.62971,0,-250.339,-2.40926,5.54926,0.730739,-25.38
4.672,80,82.388,-2.38799,0,51.7386,0.460274,2.67973,3.60027,-25.2225
4.704,80,80.05,-0.0499813,0,97.4168,0.919989,2.22001,4.05999,-25.0513
4.736,80,77.8076,2.19238,0,93.4316,0.909237,2.23076,4.04924,-24.8672
4.768,80,76.102,3.898,0,71.0677,0.718366,2.42163,3.85837,-24.6741
4.8,80,79.6678,0.332229,0,-148.574,-1.40004,4.54004,1.73996,-24.5074
4.832,80,78.1193,1.88067,0,64.5185,0.632268,2.50773,3.77227,-24.3327
4.864,80,76.0783,3.92167,0,85.0417,0.850704,2.2893,3.9907,-24.1468
4.896,80,76.5166,3.48335,0,-18.2634,-0.130789,3.27079,3.00921,-23.9662
4.928,80,76.617,3.38296,0,-4.18315,0.00106467,3.13894,3.14106,-23.7886
4.96,80,77.9625,2.03754,0,-56.0588,-0.505306,3.64531,2.63469,-23.622
4.992,80,71.9532,8.04685,0,250.388,2.46273,0.677274,5.60273,-23.419
5.024,80,77.1112,2.88882,0,-214.918,-1.99631,5.13631,1.14369,-23.2514
5.056,80,80.3403,-0.340302,0,-134.547,-1.27555,4.41555,1.86445,-23.1064
5.088,80,81.4879,-1.48786,0,-47.815,-0.469706,3.60971,2.67029,-22.9705
5.12,80,69.8603,10.1397,0,484.481,4.70002,-1.56002,6.28,-22.7635
5.152,80,72.5854,7.41461,0,-113.545,-0.984021,4.12402,2.15598,-22.5761
5.184,80,82.4304,-2.43044,0,-410.211,-3.90566,6,-0.765655,-22.4517
5.216,80,80.0566,-0.0565582,0,98.9119,0.934039,2.20596,4.07404,-22.3143
5.248,80,79.8615,0.138533,0,8.12881,0.0784797,3.06152,3.21848,-22.1774
5.28,80,84.7195,-4.71946,0,-202.416,-1.96947,5.10947,1.17053,-22.0716
5.312,80,82.2276,-2.22765,0,103.825,0.954418,2.18558,4.09442,-21.9521
5.344,80,74.8978,5.10216,0,305.409,2.94734,0.192661,6.08734,-21.7901
5.376,80,74.3344,5.66559,0,23.4759,0.289834,2.85017,3.42983,-21.6266
5.408,80,75.4608,4.53919,0,-46.933,-0.389047,3.52905,2.75095,-21.4718
5.44,80,82.0069,-2.00694,0,-272.755,-2.60162,5.74162,0.538378,-21.3573
5.472,80,83.2276,-3.22764,0,-50.8627,-0.519384,3.65938,2.62062,-21.2513
5.504,80,84.4841,-4.48411,0,-52.353,-0.548545,3.68855,2.59145,-21.1538
5.536,80,70.8354,9.1646,0,568.696,5.48416,-2.34416,6.28,-20.9786
5.568,80,76.7863,3.21369,0,-247.954,-2.30461,5.44461,0.835395,-20.8395
5.6,80,76.0933,3.90672,0,28.8761,0.31976,2.82024,3.45976,-20.6981
5.632,80,72.6043,7.39569,0,145.374,1.46253,1.67747,4.60253,-20.5385
5.664,80,78.3834,1.61664,0,-240.794,-2.2561,5.3961,0.883898,-20.4133
5.696,80,79.7934,0.206638,0,-58.75,-0.552708,3.69271,2.58729,-20.2975
5.728,80,82.1879,-2.18792,0,-99.7731,-0.969111,4.10911,2.17089,-20.1963
5.76,80,80.5161,-0.516127,0,69.6578,0.652073,2.48793,3.79207,-20.087
5.792,80,74.9039,5.09611,0,233.843,2.27097,0.86903,5.41097,-19.9478
5.824,80,82.3203,-2.32025,0,-309.015,-2.94803,6,0.191966,-19.851
5.856,80,74.2874,5.71259,0,334.702,3.23148,-0.0914812,6.28,-19.7113
5.888,80,75.9819,4.01806,0,-70.6051,-0.619001,3.759,2.521,-19.5823
5.92,80,75.0425,4.95746,0,39.1416,0.429377,2.71062,3.56938,-19.4497
5.952,80,79.7741,0.225868,0,-197.15,-1.86035,5.00035,1.27965,-19.3439
5.984,80,79.2381,0.761905,0,22.3349,0.220207,2.91979,3.36021,-19.2364
6.016,80,73.6469,6.35309,0,232.966,2.27777,0.862233,5.41777,-19.1003
6.048,80,81.7852,-1.78524,0,-339.097,-3.22589,6,-0.0858919,-19.0087
6.08,80,75.1191,4.8809,0,277.756,2.68336,0.456636,5.82336,-18.8829
6.112,80,73.215,6.785,0,79.3375,0.83116,2.30884,3.97116,-18.7485
6.144,80,72.3937,7.6063,0,34.221,0.414664,2.72534,3.55466,-18.6113
6.176,80,67.8158,12.1842,0,190.748,1.94878,1.19122,5.08878,-18.4517
6.208,80,77.3958,2.60415,0,-399.171,-3.74091,6,-0.600912,-18.3432
6.24,80,75.3716,4.62835,0,84.3418,0.85257,2.28743,3.99257,-18.2254
6.272,80,77.1565,2.84349,0,-74.3694,-0.668669,3.80867,2.47133,-18.1179
6.304,80,81.1215,-1.12154,0,-165.209,-1.57469,4.71469,1.56531,-18.0316
6.336,80,76.9188,3.08122,0,175.115,1.69181,1.44819,4.83181,-17.925
6.368,80,87.4374,-7.43738,0,-438.275,-4.23095,6,-1.09095,-17.8723
6.4,80,72.151,7.84902,0,636.934,6.11321,-2.97321,6.28,-17.7437
6.432,80,76.0237,3.97629,0,-161.364,-1.47717,4.61717,1.66283,-17.6356
6.464,80,82.3525,-2.35252,0,-263.7,-2.5202,5.6602,0.619801,-17.5599
6.496,80,88.2535,-8.25349,0,-245.874,-2.42255,5.56255,0.717448,-17.5141
6.528,80,84.2377,-4.23773,0,167.324,1.53035,1.60965,4.67035,-17.449
6.56,80,75.6635,4.33646,0,357.258,3.42812,-0.288124,6.28,-17.3427
6.592,80,79.512,0.488029,0,-160.351,-1.50946,4.64946,1.63054,-17.2562
6.624,80,77.5543,2.44573,0,81.5709,0.800194,2.33981,3.94019,-17.161
6.656,80,73.3207,6.67928,0,176.398,1.74711,1.39289,4.88711,-17.0464
6.688,80,78.1332,1.86678,0,-200.521,-1.87252,5.01252,1.26748,-16.9559
6.72,80,84.7021,-4.70212,0,-273.704,-2.64293,5.78293,0.497069,-16.8975
